condition_info,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,condition
dyad159–cond0.txt,0.7836717515270115,0.5104584912037692,0.7985836518841366,0.4422291390077173,0.4183876463889296,0.1711526677829311,0.4427086349047608,0.210743930715593,TYP
dyad119-cond0.txt,0.885215255446965,0.7705901910157601,0.9085544218819378,0.7779952968390726,0.597844090533026,0.22631810344923384,0.6224457126505699,0.22799813337632283,TYP
dyad121-cond0.txt,0.9172158891326261,0.5374199144998519,0.9168305770598956,0.5993915658841551,0.53158013346676,0.1453609437988623,0.5485978193110789,0.15782718488858336,TYP
dyad128–cond1.txt,0.7206658876253864,0.5047343964859569,0.6853468705432118,0.5642071619043002,0.4207266832876153,0.2318774409672923,0.4512168024935253,0.2599193292270526,ASD
dyad167–cond0.txt,0.912580732136627,0.5223330090736565,0.9367306258853006,0.6913009364340604,0.5454922543035368,0.1753183635952899,0.6529526774821728,0.21358941442919022,TYP
dyad126-cond1.txt,0.5434611536709042,0.3998243684078964,0.6027192051457896,0.42209212968673127,0.1881433952200358,0.021529806568069017,0.18073612547108778,0.020987862093123862,ASD
dyad141–cond0.txt,0.8622149986430627,0.5766704124379364,0.879585334324503,0.6172429813739699,0.5373106297287457,0.250131384621666,0.6468513290505116,0.2713540416789539,TYP
dyad101-cond0.txt,0.6949973350741349,0.5416010974311373,0.8250984597008553,0.6016823674198851,0.4921971511677798,0.19949912000459152,0.5197901804084579,0.20586640015648147,TYP
dyad120-cond1.txt,0.5582431064938549,0.5292189864084604,0.5814238821486907,0.5080234457952232,0.22586351421229262,0.02472386219742053,0.3015995106302607,0.02623214761888201,ASD
dyad115-cond0.txt,0.8408778921997233,0.7620364753086941,0.8778650796479929,0.7600259564251736,0.6687858983505777,0.16690459207925604,0.7383898947273919,0.20401846636085505,TYP
dyad135–cond0.txt,0.8717611322470976,0.68554627392732,0.9239091842842745,0.7028848004348127,0.8139538307335247,0.43334344291742843,0.8472630905108516,0.4368078547073208,TYP
dyad109-cond0.txt,0.8817378748993288,0.6103472986354207,0.9308254032615472,0.6417626717178683,0.5385057205241816,0.20508809893519042,0.5604645749207104,0.22809918601730442,TYP
dyad104-cond1.txt,0.6951413356361907,0.507854261438384,0.8327616174222259,0.6010781679854768,0.4148024603380869,0.0912818633772386,0.45578480785687053,0.1350112737850633,ASD
dyad125-cond0.txt,0.5648790304908822,0.4215477321305833,0.16534824392629108,0.44256424509726294,0.26298586692318576,0.033108787000812184,0.25741232523467006,0.03242834268372812,TYP
dyad110-cond1.txt,0.675082506321483,0.6534052661841535,0.7670992348356034,0.7104311028726515,0.706540038399381,0.28433570008312314,0.7306163794291003,0.29425009447020256,ASD
dyad138–cond1.txt,0.8184518208585588,0.27845048885064,0.822263166326576,0.2947107634875087,0.10203131207553764,0.032424626370497305,0.09963854834093507,0.03364485981308411,ASD
dyad163–cond0.txt,0.6449830405216092,0.44723768559011434,0.6463262466705244,0.4652123146423667,0.29496230442031246,0.1624273563217985,0.31204513928632005,0.16035674514745463,TYP
dyad133–cond0.txt,0.0,0.17683196392243516,0.0,0.1721273245792116,0.17512450514738886,0.0,0.21496368596018361,0.0,TYP
dyad149–cond0.txt,0.7397189362076769,0.4947773116951541,0.7908239227414567,0.5224750060595135,0.3505381358907588,0.08096900563266039,0.37844960432976055,0.11438294290236925,TYP
dyad165–cond0.txt,0.6902368338421623,0.17850138682385416,0.7116055967362397,0.26485998369821945,0.062946405923811,0.0,0.08722824769201168,0.0,TYP
dyad123-cond0.txt,0.8914498270288942,0.745936921081863,0.8543107789983724,0.7785661421537428,0.7250392589235636,0.3752006701007677,0.7504594997677767,0.38929654211607373,TYP
dyad102-cond1.txt,0.0,0.36844146546660206,0.0,0.39115561612297584,0.021962262211947033,0.016602227504272985,0.021258425689993418,0.016116459280507606,ASD
dyad108-cond1.txt,0.8486199826771432,0.753642486831636,0.9093230366887882,0.8260841544385351,0.6566772848481147,0.1610544308047599,0.7319793191426519,0.21007926376637073,ASD
dyad134–cond1.txt,0.6929672005634471,0.39789172478008367,0.6960198065436556,0.394827058906041,0.28016597218801614,0.10382659559609694,0.29325864354376346,0.10435142121356504,ASD
dyad157–cond0.txt,0.8045279497184824,0.5214580375957781,0.8575674628894964,0.5495391767549243,0.6208029075929888,0.3323975012102512,0.6269089733172151,0.38082393243794965,TYP
dyad143–cond0.txt,0.9401561628232811,0.6907387362628102,0.910204076913482,0.7151889362134515,0.6405561020368403,0.22233096477500638,0.6721456340477168,0.25058045441677856,TYP
dyad139–cond0.txt,0.8590568537869769,0.5366240335331866,0.830081782343832,0.5771424242979933,0.562762641283026,0.16967721333404306,0.6346937459957444,0.17636362961628477,TYP
dyad124-cond1.txt,0.556965451770425,0.5725267728239215,0.7878123534768924,0.6543681474890624,0.6005405828841606,0.26962154697957547,0.6588651348151835,0.28094363012581486,ASD
dyad111-cond0.txt,0.9224032722199084,0.7712958969836493,0.9346213520543702,0.8329737894971359,0.6259167167462476,0.18712172217273307,0.6675463138445137,0.18790035711000283,TYP
dyad169–cond0.txt,0.900743990672943,0.6895710397226191,0.8355790099905155,0.7784172668683508,0.5444971512457815,0.21643441918860973,0.5905068692831078,0.2419009728304168,TYP
dyad132–cond1.txt,0.8873863800254022,0.6976400599573009,0.8950759900584,0.7233767667077752,0.7804554180606378,0.2947661149408368,0.8040273678815455,0.33558591793070736,ASD
dyad103-cond0.txt,0.8141895568327789,0.5483461726219961,0.8429953790089316,0.5455231128810547,0.5621132055772935,0.216057937012618,0.5524370232954241,0.21984300093777615,TYP
dyad122-cond1.txt,0.9106965873798293,0.7373920067139705,0.9394233277464178,0.7561347580288081,0.7812859517925574,0.27882196535530707,0.8111297683540575,0.3082584603389079,ASD
dyad117-cond0.txt,0.9271726499455307,0.6519416889446097,0.9433193212494411,0.7001606132667035,0.6660660046231587,0.3057180378781724,0.689428386521966,0.3168521416567534,TYP
dyad127–cond0txt.txt,0.9201359504250339,0.4341136737526124,0.8873998052554425,0.5146247281832236,0.5576262205859587,0.2424374350894467,0.6210465433872828,0.25209884212296696,TYP
dyad145–cond0.txt,0.6514845682748233,0.4550910273091032,0.7186752774667287,0.4618059733441192,0.5777732259171092,0.26751425504444126,0.626124281173576,0.31167748898959186,TYP
